,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6
1413.0,6298.0,1442.0,536.0,84.0,2318.0,1271.0
3317.0,6152.0,4068.0,579.0,23.0,2392.0,777.0
11413.0,3985.0,1243.0,1151.0,65.0,2923.0,1297.0
2089.0,1913.0,1119.0,509.0,15.0,1069.0,668.0
1044.0,1498.0,1174.0,362.0,2.0,754.0,358.0
1104.0,1421.0,686.0,236.0,2.0,640.0,410.0
147.0,1246.0,713.0,174.0,14.0,658.0,542.0
0.0,1234.0,533.0,183.0,0.0,261.0,293.0
1933.0,0.0,0.0,0.0,0.0,418.0,9.0
1593.0,0.0,0.0,0.0,0.0,1091.0,296.0
24053.0,23747.0,10978.0,3730.0,205.0,12524.0,5921.0
